id,run_id,first_seen_at,source_type,domain,url,source,source_text,current_zh,suggested_zh,status,priority,error_type,tags,notes
tc-6fdd3dc3d7ffed,20260629-144641,2026-06-29T14:46:41Z,news,f1_news_title,,BVM Sports,McLaren Drivers Norris and Piastri Hope for Better at Austria Qualifying,"McLaren Drivers Norris和Piastri Hope for better at Austrial Qualification 互联网档案馆的存檔,存档日期2013-12-21. 诺里斯驾驶员和Piastri Hope for Better at Austrial Qualification","McLaren Drivers Norris和Piastri Hope for better at Austrial Qualification 互联网档案馆的存檔,存档日期2013-12-21. Norris驾驶员和Piastri Hope for Better at Austrial Qualification",pending,high,"mixed_machine_english,web_archive_noise","f1_news_title,mixed_language,noise","疑似机器翻译残留英文功能词：for, at, for, at。 | 翻译混入网页归档噪音。"
tc-1ccd5b41a839ad,20260629-144641,2026-06-29T14:46:41Z,news,f1_news_title,,grandprix247,McLaren face harsh reality after Austria qualifying as Lando Norris and Oscar Piastri chase rivals,McLaren在奥地利获得兰多·诺里斯和奥斯卡·Piastri追逐对手的资格后面临严酷的现实.,McLaren在奥地利获得Lando Norris和Oscar Piastri追逐对手的排位赛后面临严酷的现实.,pending,high,qualifying_term,"f1_news_title,qualifying",qualifying/quali 在 F1 语境应译为排位赛。
tc-f0f506be08b623,20260629-144641,2026-06-29T14:46:41Z,news,f1_news_title,,GPblog,Oscar Piastri summoned to the stewards after Austrian Grand Prix: here's why,奥斯卡·Piastri在奥地利大奖赛之后召见了管家们:,Oscar Piastri在奥地利大奖赛之后召见了干事们:,pending,high,stewards_term,"f1_news_title,stewards,penalty",stewards 应译为 FIA 干事，不能译成管家/服务员/主管。
tc-befe55246b8dcf,20260629-144641,2026-06-29T14:46:41Z,news,f1_news_title,,news.gp,Piastri avoids penalty after Austrian GP stewards review,Piastri在奥地利GP管理者审查后避免处罚,Piastri在奥地利GP干事审查后避免处罚,pending,high,stewards_term,"stewards,penalty,f1_news_title",stewards 应译为 FIA 干事，不能译成管家/服务员/主管。
tc-626f7593af8f75,20260629-144641,2026-06-29T14:46:41Z,social,team_radio,,@laurogeitabat,"📻 tom: ""that's the chequered flag. great drive mate. that's a phenomenal drive to p4. that's what we were looking for."" oscar: ""well, that was a bit better than last week! thanks guys. lot of hard work done, more pace to find.""","📻 tom: ""that's the chequered flag. great drive mate. that's a phenomenal drive to p4. that's what we were looking for."" oscar: ""well, that was a bit better than last week! thanks guys. lot of hard work done, more pace to find.""",,pending,medium,"mixed_machine_english,untranslated_fallback","mixed_language,team_radio,untranslated","疑似机器翻译残留英文功能词：the, to, were, for, was, of。 | 新闻标题/摘要疑似仍为英文兜底，需要人工判断是否中文化。"
tc-5d07c126643bc7,20260629-144641,2026-06-29T14:46:41Z,social,team_radio,,@oscarsspiastree,"📻Well done mate, that's a really phenomenal drive, great drive! Really good job Oscar, that's exactly what we were looking for. 🐝Yeah that was a bit better than last race, nice. Good job everybody, that was a tough afternoon, I've still got a bit of pace to make up but thanks guys for all the effort the last couple of weeks. I think that is pretty good evidence that it's paid off. So thank you, let's do that every time~Thank you~","📻Well done mate, that's a really phenomenal drive, great drive! Really good job Oscar, that's exactly what we were looking for. 🐝Yeah that was a bit better than last race, nice. Good job everybody, that was a tough afternoon, I've still got a bit of pace to make up but thanks guys for all the effort the last couple of weeks. I think that is pretty good evidence that it's paid off. So thank you, let's do that every time~Thank you~",,pending,medium,"mixed_machine_english,untranslated_fallback","mixed_language,team_radio,untranslated","疑似机器翻译残留英文功能词：were, for, was, was, of, to。 | 新闻标题/摘要疑似仍为英文兜底，需要人工判断是否中文化。"
tc-dd4a4b736a078f,20260629-144641,2026-06-29T14:46:41Z,social,x_post,,@laurogeitabat,"FROM P7 TO P4 !!!! he said he understood what went wrong in barcelona and he showed it today: great pace, great tyre management, great overtakes. a race to be very proud of 🫶🏻","FROM P7 TO P4 !!!! he said he understood what went wrong in barcelona and he showed it today: great pace, great tyre management, great overtakes. a race to be very proud of 🫶🏻",,pending,medium,"mixed_machine_english,untranslated_fallback","mixed_language,x_post,untranslated","疑似机器翻译残留英文功能词：FROM, TO, in, and, to, of。 | 新闻标题/摘要疑似仍为英文兜底，需要人工判断是否中文化。"
tc-f074bf6ca236fe,20260629-144641,2026-06-29T14:46:41Z,social,x_post,,@laurogeitabat,NO FURTHER ACTION !!! p4 is secured 💪🏻,NO FURTHER ACTION !!! p4 is secured 💪🏻,,pending,medium,untranslated_fallback,"untranslated,x_post",新闻标题/摘要疑似仍为英文兜底，需要人工判断是否中文化。
tc-4398e94190ffe6,20260629-144641,2026-06-29T14:46:41Z,social,x_post,,@laurogeitabat,OSCAR'S OVERTAKE AT THE START 😮‍💨,OSCAR'S OVERTAKE AT THE START 😮‍💨,,pending,medium,untranslated_fallback,"untranslated,x_post",新闻标题/摘要疑似仍为英文兜底，需要人工判断是否中文化。
tc-eaa4210319742b,20260629-144641,2026-06-29T14:46:41Z,social,x_post,,@laurogeitabat,OSCAR'S OVERTAKE ON CHARLES !!!,OSCAR'S OVERTAKE ON CHARLES !!!,,pending,medium,untranslated_fallback,"untranslated,x_post",新闻标题/摘要疑似仍为英文兜底，需要人工判断是否中文化。
tc-cf2a2fda3df02f,20260629-144641,2026-06-29T14:46:41Z,social,x_post,,@oscarsspiastree,Taking some downtime with our duo 👀 #McLarenF1 | #AustrianGP 🇦🇹,Taking some downtime with our duo 👀 #McLarenF1 | #AustrianGP 🇦🇹,,pending,medium,untranslated_fallback,"untranslated,x_post",新闻标题/摘要疑似仍为英文兜底，需要人工判断是否中文化。
tc-ae3c102a33d855,20260629-144641,2026-06-29T14:46:41Z,social,x_post,,@laurogeitabat,"The FIA’s thoughts are with Harald, a marshal at the Austrian Grand Prix, who suffered a heart emergency before Sunday’s race. He was airlifted to a nearby hospital, where he received medical treatment. We wish Harald a full and speedy recovery, extend our best wishes to his family and loved ones, and thank him for his dedication and commitment to our sport.","The FIA’s thoughts are with Harald, a marshal at the Austrian Grand Prix, who suffered a heart emergency before Sunday’s race. He was airlifted to a nearby hospital, where he received medical treatment. We wish Harald a full and speedy recovery, extend our best wishes to his family and loved ones, and thank him for his dedication and commitment to our sport.",,pending,medium,"mixed_machine_english,untranslated_fallback","mixed_language,x_post,untranslated","疑似机器翻译残留英文功能词：The, are, with, at, the, before。 | 新闻标题/摘要疑似仍为英文兜底，需要人工判断是否中文化。"
tc-cf4629b0101eec,20260629-144641,2026-06-29T14:46:41Z,social,x_post,,@laurogeitabat,"andrea stella praising oscar's race! ""excellent strategy and tyre management. oscar drove a fantastic race."" 🙂‍↕️🙂‍↕️🙂‍↕️","andrea stella praising oscar's race! ""excellent strategy and tyre management. oscar drove a fantastic race."" 🙂‍↕️🙂‍↕️🙂‍↕️",,pending,medium,untranslated_fallback,"untranslated,x_post",新闻标题/摘要疑似仍为英文兜底，需要人工判断是否中文化。
tc-e6e85f079e6f1a,20260629-144641,2026-06-29T14:46:41Z,social,x_post,,@oscarsspiastree,oscar and his umbrella against the world 😭,oscar and his umbrella against the world 😭,,pending,medium,untranslated_fallback,"untranslated,x_post",新闻标题/摘要疑似仍为英文兜底，需要人工判断是否中文化。
tc-776cf3932d5534,20260629-144641,2026-06-29T14:46:41Z,social,x_post,,@laurogeitabat,oscar and max before the national anthem 🫶🏻,oscar and max before the national anthem 🫶🏻,,pending,medium,"mixed_machine_english,untranslated_fallback","mixed_language,x_post,untranslated","疑似机器翻译残留英文功能词：and, before, the。 | 新闻标题/摘要疑似仍为英文兜底，需要人工判断是否中文化。"
tc-7d3fae6de74e2d,20260629-144641,2026-06-29T14:46:41Z,social,x_post,,@laurogeitabat,oscar filmed a segment for dazn!,oscar filmed a segment for dazn!,,pending,medium,untranslated_fallback,"untranslated,x_post",新闻标题/摘要疑似仍为英文兜底，需要人工判断是否中文化。
tc-e85f5db8fd7216,20260629-144641,2026-06-29T14:46:41Z,social,x_post,,@laurogeitabat,oscar fully folded over laughing 😭😭,oscar fully folded over laughing 😭😭,,pending,medium,untranslated_fallback,"untranslated,x_post",新闻标题/摘要疑似仍为英文兜底，需要人工判断是否中文化。
tc-78d27dfebf2543,20260629-144641,2026-06-29T14:46:41Z,social,x_post,,@laurogeitabat,oscar making sure he got one goated overtake in before the end of june just so he can win another overtake of the month award 🙂‍↕️🙂‍↕️,oscar making sure he got one goated overtake in before the end of june just so he can win another overtake of the month award 🙂‍↕️🙂‍↕️,,pending,medium,"mixed_machine_english,untranslated_fallback","mixed_language,x_post,untranslated","疑似机器翻译残留英文功能词：in, before, the, of, of, the。 | 新闻标题/摘要疑似仍为英文兜底，需要人工判断是否中文化。"
tc-aba8aa09c0e82c,20260629-144641,2026-06-29T14:46:41Z,social,x_post,,@laurogeitabat,oscar's dap skills got a 7/10 :(,oscar's dap skills got a 7/10 :(,,pending,medium,untranslated_fallback,"untranslated,x_post",新闻标题/摘要疑似仍为英文兜底，需要人工判断是否中文化。
tc-29d13cba2cfc8c,20260629-144641,2026-06-29T14:46:41Z,social,x_post,,@laurogeitabat,"reminds me of last year when he decided 5mins after quali that his best shot at winning spa was attacking right at the start; he did it and he won. he knew track position was important today, he went for it, and he got it. i love when he's hungry for it, he was amazing today 👏🏻","reminds me of last year when he decided 5mins after quali that his best shot at winning spa was attacking right at the start; he did it and he won. he knew track position was important today, he went for it, and he got it. i love when he's hungry for it, he was amazing today 👏🏻",,pending,medium,"mixed_machine_english,untranslated_fallback","mixed_language,x_post,untranslated","疑似机器翻译残留英文功能词：of, after, at, was, at, the。 | 新闻标题/摘要疑似仍为英文兜底，需要人工判断是否中文化。"
tc-d8d7801c6a8aa4,20260629-144641,2026-06-29T14:46:41Z,social,x_post,,@laurogeitabat,"zak brown on the possibility of max joining mclaren: ""i'd be very surprised if lando or oscar went elsewhere. they're happy here, we're very happy with them. if for some reason someone slipped on a banana peel getting out of the tub then of course, max is a world champ"" bro 💀","zak brown on the possibility of max joining mclaren: ""i'd be very surprised if lando or oscar went elsewhere. they're happy here, we're very happy with them. if for some reason someone slipped on a banana peel getting out of the tub then of course, max is a world champ"" bro 💀",,pending,medium,"mixed_machine_english,untranslated_fallback","mixed_language,x_post,untranslated","疑似机器翻译残留英文功能词：the, of, with, for, of, the。 | 新闻标题/摘要疑似仍为英文兜底，需要人工判断是否中文化。"
tc-a1e3726d53b159,20260629-144641,2026-06-29T14:46:41Z,social,x_post,,@NFFormula,🇦🇹 Red Bull Ring’de ilk antrenman seansı tamamlandı. 1- Antonelli 2- Russell 3- Piastri,🇦🇹 Red Bull Ring’de ilk antrenman seansı tamamlandı. 1- Antonelli 2- Russell 3- Piastri,,pending,medium,untranslated_fallback,"untranslated,x_post",新闻标题/摘要疑似仍为英文兜底，需要人工判断是否中文化。
tc-21cef343820ef6,20260629-145244,2026-06-29T14:52:44Z,news,f1_news_title,,Paddock News 24,F1 Austria GP Qualifying McLaren Piastri reflects on maximising package ahead of race,F1 奥地利 GP 资格赛 McLaren Piastri 反思赛前最大套装,F1 奥地利 GP 排位赛 McLaren Piastri 反思赛前最大套装,pending,high,qualifying_term,"qualifying,f1_news_title",qualifying/quali 在 F1 语境应译为排位赛。
tc-0f7403c453ff7a,20260629-150938,2026-06-29T15:09:38Z,news,f1_news_title,,total-motorsport.com,What went wrong for McLaren in qualifying at Austrian GP? Lando Norris and Oscar Piastri explain,McLaren在奥地利GP资格赛上出了什么问题? Lando Norris和Oscar Piastri解释,McLaren在奥地利GP排位赛上出了什么问题? Lando Norris和Oscar Piastri解释,pending,high,qualifying_term,"qualifying,f1_news_title",qualifying/quali 在 F1 语境应译为排位赛。
tc-ecf26510011aad,20260630-060909,2026-06-30T06:09:09Z,social,x_post,,@laurogeitabat,"f1 nation podcast on oscar's drive in austria 😌 ""i'd ask him “have you ever driven a better race?”. he was outstanding"" ""the kind of race a championship caliber driver has to pull off"" ""when he's 65 they'll ask him about his best race and [he'll talk about this one]""","f1 nation podcast on oscar's drive in austria 😌 ""i'd ask him “have you ever driven a better race?”. he was outstanding"" ""the kind of race a championship caliber driver has to pull off"" ""when he's 65 they'll ask him about his best race and [he'll talk about this one]""",,pending,medium,"mixed_machine_english,untranslated_fallback","mixed_language,x_post,untranslated","疑似机器翻译残留英文功能词：in, was, the, of, driver, to。 | 新闻标题/摘要疑似仍为英文兜底，需要人工判断是否中文化。"
