source,target,type,scope,case_sensitive,status,notes
Oscar Piastri,Oscar Piastri,person,all,true,approved,人名默认保留英文
Piastri,Piastri,person,all,true,approved,姓氏默认保留英文
Oscar,Oscar,person,social,true,approved,粉丝源里常用名默认保留英文
Lando Norris,Lando Norris,person,all,true,approved,人名默认保留英文
Norris,Norris,person,all,true,approved,姓氏默认保留英文
Max Verstappen,Max Verstappen,person,all,true,approved,人名默认保留英文
Verstappen,Verstappen,person,all,true,approved,姓氏默认保留英文
Kimi Antonelli,Kimi Antonelli,person,all,true,approved,人名默认保留英文
Antonelli,Antonelli,person,all,true,approved,姓氏默认保留英文
George Russell,George Russell,person,all,true,approved,人名默认保留英文
Russell,Russell,person,all,true,approved,姓氏默认保留英文
Charles Leclerc,Charles Leclerc,person,all,true,approved,人名默认保留英文
Leclerc,Leclerc,person,all,true,approved,姓氏默认保留英文
Lewis Hamilton,Lewis Hamilton,person,all,true,approved,人名默认保留英文
Hamilton,Hamilton,person,all,true,approved,姓氏默认保留英文
Andrea Stella,Andrea Stella,person,all,true,approved,人名默认保留英文
Zak Brown,Zak Brown,person,all,true,approved,人名默认保留英文
Mark Webber,Mark Webber,person,all,true,approved,人名默认保留英文
McLaren,McLaren,team,all,true,approved,队名保留英文
Red Bull,Red Bull,team,all,true,approved,队名保留英文
Mercedes,Mercedes,team,all,true,approved,队名保留英文
Ferrari,Ferrari,team,all,true,approved,队名保留英文
Williams,Williams,team,all,true,approved,队名保留英文
Alpine,Alpine,team,all,true,approved,队名保留英文
Aston Martin,Aston Martin,team,all,true,approved,队名保留英文
Haas,Haas,team,all,true,approved,队名保留英文
Racing Bulls,Racing Bulls,team,all,true,approved,队名保留英文
Sauber,Sauber,team,all,true,approved,队名保留英文
Formula 1,Formula 1,series,all,true,approved,官方系列名保留英文
F1,F1,series,all,true,approved,缩写保留英文
FIA,FIA,organization,all,true,approved,缩写保留英文
Grand Prix,大奖赛,term,news,false,approved,赛事名称通用译法
GP,GP,term,all,true,approved,缩写保留英文
Austrian GP,奥地利大奖赛,event,all,false,approved,赛事名称
Austrian Grand Prix,奥地利大奖赛,event,all,false,approved,赛事名称
British GP,英国大奖赛,event,all,false,approved,赛事名称
British Grand Prix,英国大奖赛,event,all,false,approved,赛事名称
Hungarian GP,匈牙利大奖赛,event,all,false,approved,赛事名称
Hungarian Grand Prix,匈牙利大奖赛,event,all,false,approved,赛事名称
Belgian GP,比利时大奖赛,event,all,false,approved,赛事名称
Belgian Grand Prix,比利时大奖赛,event,all,false,approved,赛事名称
Italian GP,意大利大奖赛,event,all,false,approved,赛事名称
Italian Grand Prix,意大利大奖赛,event,all,false,approved,赛事名称
Red Bull Ring,Red Bull Ring,circuit,all,true,approved,赛道名保留英文
